"""Parent ID number""",ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,https://niccs.cisa.gov/workforce-development-framework/nice-framework-v2.0.0,NICE-2.0.0,Workforce Framework for Cybersecurity (NICE Framework) (NIST SP 800-181 Rev 1),1,"Not yet competent,Competent","[{""scaleid"":""2""},{""id"":1,""scaledefault"":1,""proficient"":0},{""id"":2,""scaledefault"":0,""proficient"":1}]",,,,,,1,"domain,competency,proficiency,skill"
S,S0592,S0592 - Skill in tuning network sensors,Skill in tuning network sensors,1,,,,0,null,"OG-WRL-005,PD-WRL-004",3560,,
K,K1115,K1115 - Knowledge of Chain of Custody (CoC) processes and procedures,Knowledge of Chain of Custody (CoC) processes and procedures,1,,,,0,null,"IN-WRL-001,IN-WRL-002,PD-WRL-002",4324,,
T,T0084,T0084 - Employ secure configuration management processes,Employ secure configuration management processes,1,,,,0,null,"DD-WRL-001,DD-WRL-002,DD-WRL-004",2420,,
DD,DD-WRL-001,Cybersecurity Architecture ,"Responsible for ensuring that security requirements are adequately addressed in all aspects of enterprise architecture, including reference models, segment and solution architectures, and the resulting systems that protect and support organizational mission and business processes.",1,,,,0,null,"T1077,T0084,T0542,T1010,T1019,T1020,T1027,T1029,T1100,T1101,T1096,T1122,T1123,T1124,T1125,T1126,T1151,T1152,T1153,T1168,T1169,T1179,T1263,T1264,T1265,T1293,T1294,T1364,T1362,T1363,T1361,T1404,T1403,T1423,T1434,T1410,T1426,T1521,T1507,T1508,T1527,T1519,T1520,T1563,T1556,T1544,T1545,T1583,T1628,T1627,S0141,S0172,S0383,S0385,S0386,S0387,S0418,S0419,S0428,S0429,S0430,S0458,S0465,S0466,S0543,S0544,S0551,S0569,S0570,S0571,S0574,S0578,S0590,S0596,S0598,S0613,S0632,S0637,S0638,S0655,S0657,S0658,S0659,S0673,S0674,S0675,S0683,S0685,S0686,S0728,S0762,S0791,S0813,S0814,S0822,S0853,S0880,S0893,K0018,K0055,K0092,K0646,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0687,K0688,K0689,K0690,K0691,K0692,K0759,K0694,K0698,K0707,K0709,K0710,K0714,K0718,K0719,K0720,K0727,K0728,K0729,K0730,K0731,K0736,K0739,K0742,K0743,K0744,K0745,K0749,K0751,K0752,K0753,K0756,K0757,K0758,K0765,K0768,K0772,K0773,K0778,K0779,K0791,K0814,K0835,K0836,K0839,K0840,K0842,K0846,K0847,K0848,K0849,K0851,K0859,K0865,K0866,K0868,K0869,K0870,K0871,K0872,K0873,K0874,K0875,K0876,K0877,K0878,K0891,K0894,K0906,K0907,K0915,K0917,K0918,K0919,K0921,K0927,K0928,K0933,K0934,K0942,K0947,K0948,K0949,K0952,K0983,K1014,K1049,K1080,K1081,K1086,K1095,K1110,K1111,K1120,K1137,K1143,K1159,K1169,K1173,K1194,K1212,K1216,K1223,K1236",2346,,
DD,DD-WRL-002,Enterprise Architecture ,"Responsible for developing and maintaining business, systems, and information processes to support enterprise mission needs. Develops technology rules and requirements that describe baseline and target architectures. ",1,,,,0,null,"T1077,T0084,T0542,T1010,T1019,T1020,T1027,T1100,T1101,T1096,T1122,T1123,T1124,T1125,T1126,T1179,T1294,T1364,T1363,T1404,T1403,T1423,T1434,T1410,T1426,T1429,T1521,T1507,T1508,T1527,T1519,T1520,T1563,T1544,T1545,T1583,T1591,T1597,T1598,T1606,T1626,S0383,S0420,S0426,S0427,S0465,S0466,S0543,S0544,S0551,S0570,S0571,S0574,S0578,S0590,S0597,S0674,S0675,S0683,S0686,S0762,S0813,S0814,S0822,S0853,S0880,S0893,K0646,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0707,K0710,K0711,K0714,K0720,K0727,K0728,K0729,K0730,K0731,K0739,K0742,K0744,K0745,K0749,K0751,K0752,K0756,K0757,K0758,K0765,K0772,K0773,K0778,K0779,K0791,K0835,K0836,K0839,K0840,K0842,K0848,K0849,K0851,K0865,K0866,K0868,K0869,K0870,K0871,K0872,K0873,K0879,K0880,K0883,K0891,K0894,K0906,K0907,K0915,K0921,K0927,K0928,K0933,K0934,K0947,K0948,K0949,K0952,K0983,K1014,K1086,K1095,K1110,K1111,K1120,K1159,K1169,K1191,K1194,K1212,K1216,K1223,K1236",2347,,
IN,IN-WRL-001,Cybercrime Investigation,"Responsible for investigating cyberspace intrusion incidents and crimes. Applies tactics, techniques, and procedures for a full range of investigative tools and processes and appropriately balances the benefits of prosecution versus intelligence gathering.",1,,,,0,null,"T0193,T1020,T1090,T1094,T1095,T1137,T1196,T1198,T1187,T1199,T1200,T1191,T1192,T1207,T1241,T1242,T1325,T1324,T1439,T1456,T1457,T1477,T1505,T1510,T1526,T1542,T1551,T1600,T1639,T1712,S0469,S0470,S0471,S0477,S0509,S0589,S0607,S0608,S0609,S0620,S0651,S0807,S0848,S0854,S0856,S0866,S0863,S0890,S0896,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0759,K0716,K0717,K0732,K0744,K0751,K0752,K0770,K0784,K0785,K0788,K0789,K0790,K0795,K0796,K0800,K0802,K0804,K0833,K0837,K0884,K0892,K0899,K0900,K0901,K0909,K0923,K0962,K0963,K0969,K0983,K1014,K1016,K1079,K1115,K1138,K1151,K1152,K1153,K1154,K1155",2364,,
DD,DD-WRL-009,Operational Technology (OT) Cybersecurity Engineering,"Responsible for working within the engineering department to design and create systems, processes, and procedures that maintain the safety, reliability, controllability, and security of industrial systems in the face of intentional and incidental cyber events. Interfaces with Chief Information Security Officer, plant managers, and industrial cybersecurity technicians.",1,,,,0,null,"T0067,T1069,T1070,T1124,T1163,T1164,T1185,T1187,T1243,T1244,T1338,T1345,T1527,T1619,T2031,T2043,T2032,T2039,T2033,T2042,T2034,T2040,T2035,T2044,T2036,T2041,T2037,T2028,T2045,T2029,T2038,T2030,T2046,T2047,T2048,T2049,T2050,T2051,S0141,S0385,S0386,S0387,S0391,S0430,S0459,S0461,S0531,S0673,S0686,S0806,S0939,S0940,S0941,S0942,S0943,S0944,S0945,S0946,S0947,S0948,S0949,S0950,S0951,K0663,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0721,K0728,K0729,K0730,K0734,K0735,K0822,K0835,K1076,K1122,K1180,K1182,K1285,K1286,K1287,K1288,K1289,K1290,K1291,K1292,K1293,K1294,K1295,K1296,K1297,K1298,K1299,K1300,K1301,K1302,K1303,K1304,K1305,K1306,K1307,K1308,K1309,K1310,K1311",2348,,
IO,IO-WRL-007,Technical Support ,Responsible for providing technical support to customers who need assistance utilizing client-level hardware and software in accordance with established or approved organizational policies and processes.,1,,,,0,null,"T0237,T1020,T1024,T1214,T1215,T1334,T1405,T1411,T1412,T1427,T1429,T1538,T1554,T1567,T1566,T1569,T1570,T1571,T1572,T1580,T1581,T1606,T1626,S0407,S0408,S0478,S0487,S0488,S0582,S0593,S0594,S0595,S0661,S0679,S0680,S0687,S0805,S0806,S0807,S0844,S0852,S0854,S0892,K0793,K0645,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0685,K0686,K0725,K0726,K0740,K0741,K0746,K0747,K0751,K0752,K0762,K0769,K0770,K0786,K0787,K0829,K0830,K0837,K0863,K0864,K0865,K0866,K0872,K0873,K0898,K0903,K0911,K0917,K0918,K0919,K0934,K0935,K0946,K0983,K1014,K1090,K1112,K1127,K1191",2358,,
DD,DD-WRL-003,Secure Software Development,"Responsible for developing, creating, modifying, and maintaining computer applications, software, or specialized utility programs.",1,,,,0,null,"T1073,T1074,T0077,T0311,T1019,T1020,T1067,T1068,T1071,T1082,T1083,T1098,T1099,T1089,T1108,T1116,T1117,T1135,T1205,T1202,T1197,T1203,T1204,T1190,T1258,T1261,T1262,T1269,T1280,T1281,T1302,T1309,T1318,T1319,T1320,T1360,T1400,T1422,T1499,T1529,T1509,T1513,T1528,T1575,T1576,T1577,T1625,T1624,S0172,S0175,S0382,S0417,S0465,S0466,S0543,S0544,S0560,S0562,S0563,S0565,S0569,S0574,S0597,S0655,S0657,S0658,S0670,S0825,S0836,S0878,S0879,S0883,K0068,K0639,K0674,K0675,K0676,K0677,K0678,K0679,K0680,K0681,K0682,K0683,K0684,K0693,K0759,K0695,K0710,K0711,K0712,K0713,K0721,K0722,K0728,K0729,K0730,K0734,K0735,K0737,K0738,K0739,K0744,K0748,K0751,K0752,K0755,K0757,K0762,K0763,K0764,K0765,K0767,K0768,K0778,K0782,K0791,K0803,K0813,K0814,K0820,K0826,K0827,K0828,K0839,K0870,K0871,K0877,K0878,K0891,K0915,K0917,K0918,K0919,K0920,K0948,K0955,K0956,K0957,K0983,K1014,K1079,K1099,K1117,K1118,K1126,K1137,K1148,K1149,K1150,K1157,K1165,K1170,K1203,K1205,K1208,K1210,K1214,K1215,K1236,K1239",2349,,
